valid_time,number,t2m_°C,tcc_fraction,ssr_Wm2,str_Wm2,tisr_Wm2,tsr_Wm2,ttr_Wm2,month,month_abbr
2024-01-31,0,4.2659607,0.66858035,22.785704,-8.926307,53.412582,34.46228,-37.58242,1,Jan
2024-02-29,0,4.346649,0.6784338,21.917505,-8.652926,49.9118,33.134773,-37.582104,2,Feb
2024-03-31,0,4.032074,0.68212557,21.142017,-8.7035055,46.747906,31.884283,-37.435028,3,Mar
2024-04-30,0,5.01297,0.6857575,20.91214,-8.775069,47.556206,32.036106,-37.416847,4,Apr
2024-05-31,0,6.939728,0.67628527,21.062815,-8.849184,49.91705,32.973045,-37.945583,5,May
2024-06-30,0,8.3524475,0.68020684,21.645933,-8.598773,51.065285,34.10435,-38.471848,6,Jun
2024-07-31,0,8.755829,0.67248106,21.653725,-8.382769,50.176125,33.969597,-38.70503,7,Jul
2024-08-31,0,8.663452,0.653919,21.436228,-8.537534,47.743366,32.98893,-38.619534,8,Aug
2024-09-30,0,7.3965454,0.6668619,21.041574,-8.492222,45.84101,31.814228,-38.152527,9,Sep
2024-10-31,0,6.5429077,0.6707086,21.341434,-8.724607,47.923714,32.099533,-37.821846,10,Oct
2024-11-30,0,5.412903,0.6672191,21.96122,-8.963378,51.984295,33.24708,-37.56225,11,Nov
2024-12-31,0,5.037079,0.6639209,22.813337,-9.032181,54.34864,34.593636,-37.60316,12,Dec
